"ref.date","yield.bid","price.bid","asset.code","matur.date"
2007-02-16,0.1206,961.68,"NTN-F 010710",2010-07-01
2007-02-21,0.1206,962.11,"NTN-F 010710",2010-07-01
2007-02-22,0.1197,964.77,"NTN-F 010710",2010-07-01
2007-02-23,0.1189,967.18,"NTN-F 010710",2010-07-01
2007-02-26,0.1198,965.39,"NTN-F 010710",2010-07-01
2007-02-27,0.1192,967.31,"NTN-F 010710",2010-07-01
2007-02-28,0.1233,957.68,"NTN-F 010710",2010-07-01
2007-03-01,0.1211,963.5,"NTN-F 010710",2010-07-01
2007-03-02,0.1221,961.49,"NTN-F 010710",2010-07-01
2007-03-05,0.1231,959.49,"NTN-F 010710",2010-07-01
2007-03-06,0.1239,958,"NTN-F 010710",2010-07-01
2007-03-07,0.1211,965.25,"NTN-F 010710",2010-07-01
2007-03-08,0.1205,967.15,"NTN-F 010710",2010-07-01
2007-03-09,0.1207,967.1,"NTN-F 010710",2010-07-01
2007-03-12,0.1201,969,"NTN-F 010710",2010-07-01
2007-03-13,0.1193,971.39,"NTN-F 010710",2010-07-01
2007-03-14,0.1207,968.41,"NTN-F 010710",2010-07-01
2007-03-15,0.1199,970.8,"NTN-F 010710",2010-07-01
2007-03-16,0.1198,971.48,"NTN-F 010710",2010-07-01
2007-03-19,0.1201,971.18,"NTN-F 010710",2010-07-01
2007-03-20,0.1196,972.84,"NTN-F 010710",2010-07-01
2007-03-21,0.1195,973.52,"NTN-F 010710",2010-07-01
2007-03-22,0.1181,977.36,"NTN-F 010710",2010-07-01
2007-03-23,0.1178,978.53,"NTN-F 010710",2010-07-01
2007-03-26,0.1182,977.99,"NTN-F 010710",2010-07-01
2007-03-27,0.1181,978.66,"NTN-F 010710",2010-07-01
2007-03-28,0.1181,979.1,"NTN-F 010710",2010-07-01
2007-03-29,0.1184,978.8,"NTN-F 010710",2010-07-01
2007-03-30,0.118,980.21,"NTN-F 010710",2010-07-01
2007-04-02,0.1174,982.1,"NTN-F 010710",2010-07-01
2007-04-03,0.1168,983.99,"NTN-F 010710",2010-07-01
2007-04-04,0.1164,985.4,"NTN-F 010710",2010-07-01
2007-04-05,0.1164,985.83,"NTN-F 010710",2010-07-01
2007-04-09,0.1163,986.5,"NTN-F 010710",2010-07-01
2007-04-10,0.1156,988.64,"NTN-F 010710",2010-07-01
2007-04-11,0.1152,990.04,"NTN-F 010710",2010-07-01
2007-04-12,0.1155,989.74,"NTN-F 010710",2010-07-01
2007-04-13,0.1157,989.68,"NTN-F 010710",2010-07-01
2007-04-16,0.1148,992.3,"NTN-F 010710",2010-07-01
2007-04-17,0.1134,996.14,"NTN-F 010710",2010-07-01
2007-04-18,0.1131,997.3,"NTN-F 010710",2010-07-01
2007-04-19,0.1106,1003.85,"NTN-F 010710",2010-07-01
2007-04-20,0.1096,1006.73,"NTN-F 010710",2010-07-01
2007-04-23,0.109,1008.63,"NTN-F 010710",2010-07-01
2007-04-24,0.1087,1009.79,"NTN-F 010710",2010-07-01
2007-04-25,0.1088,1009.95,"NTN-F 010710",2010-07-01
2007-04-26,0.1076,1013.33,"NTN-F 010710",2010-07-01
2007-04-27,0.1082,1012.26,"NTN-F 010710",2010-07-01
2007-04-30,0.1086,1011.69,"NTN-F 010710",2010-07-01
2007-05-02,0.108,1013.58,"NTN-F 010710",2010-07-01
2007-05-03,0.1066,1017.45,"NTN-F 010710",2010-07-01
2007-05-04,0.106,1019.35,"NTN-F 010710",2010-07-01
2007-05-07,0.1058,1020.25,"NTN-F 010710",2010-07-01
2007-05-08,0.1059,1020.41,"NTN-F 010710",2010-07-01
2007-05-09,0.1062,1020.07,"NTN-F 010710",2010-07-01
2007-05-10,0.1055,1022.21,"NTN-F 010710",2010-07-01
2007-05-11,0.1062,1020.89,"NTN-F 010710",2010-07-01
2007-05-14,0.1058,1022.29,"NTN-F 010710",2010-07-01
2007-05-15,0.1057,1022.94,"NTN-F 010710",2010-07-01
2007-05-16,0.1047,1025.81,"NTN-F 010710",2010-07-01
2007-05-17,0.1031,1030.17,"NTN-F 010710",2010-07-01
2007-05-18,0.102,1033.3,"NTN-F 010710",2010-07-01
2007-05-21,0.1025,1032.46,"NTN-F 010710",2010-07-01
2007-05-22,0.1019,1034.35,"NTN-F 010710",2010-07-01
2007-05-23,0.102,1034.5,"NTN-F 010710",2010-07-01
2007-05-24,0.1033,1031.69,"NTN-F 010710",2010-07-01
2007-05-25,0.1051,1027.67,"NTN-F 010710",2010-07-01
2007-05-28,0.1041,1030.53,"NTN-F 010710",2010-07-01
2007-05-29,0.1038,1031.67,"NTN-F 010710",2010-07-01
2007-05-30,0.1048,1029.63,"NTN-F 010710",2010-07-01
2007-05-31,0.1045,1030.77,"NTN-F 010710",2010-07-01
2007-06-01,0.1038,1032.88,"NTN-F 010710",2010-07-01
2007-06-04,0.1028,1035.73,"NTN-F 010710",2010-07-01
2007-06-05,0.104,1033.21,"NTN-F 010710",2010-07-01
2007-06-06,0.1047,1031.91,"NTN-F 010710",2010-07-01
2007-06-08,0.1047,1032.32,"NTN-F 010710",2010-07-01
2007-06-11,0.1046,1032.97,"NTN-F 010710",2010-07-01
2007-06-12,0.1043,1034.1,"NTN-F 010710",2010-07-01
2007-06-13,0.1062,1029.93,"NTN-F 010710",2010-07-01
2007-06-14,0.106,1030.82,"NTN-F 010710",2010-07-01
2007-06-15,0.1052,1033.16,"NTN-F 010710",2010-07-01
2007-06-18,0.1041,1036.21,"NTN-F 010710",2010-07-01
2007-06-19,0.1041,1036.62,"NTN-F 010710",2010-07-01
2007-06-20,0.1041,1037.03,"NTN-F 010710",2010-07-01
2007-06-21,0.1052,1034.8,"NTN-F 010710",2010-07-01
2007-06-22,0.1053,1034.97,"NTN-F 010710",2010-07-01
2007-06-25,0.1068,1031.81,"NTN-F 010710",2010-07-01
2007-06-26,0.1092,1026.55,"NTN-F 010710",2010-07-01
2007-06-27,0.1089,1027.68,"NTN-F 010710",2010-07-01
2007-06-28,0.1077,1030.92,"NTN-F 010710",2010-07-01
2007-06-29,0.1077,982.53,"NTN-F 010710",2010-07-01
2007-07-02,0.1076,983.17,"NTN-F 010710",2010-07-01
2007-07-03,0.1069,985.22,"NTN-F 010710",2010-07-01
2007-07-04,0.1073,984.67,"NTN-F 010710",2010-07-01
2007-07-05,0.1089,981.32,"NTN-F 010710",2010-07-01
2007-07-06,0.1088,981.95,"NTN-F 010710",2010-07-01
2007-07-09,0.1076,985.16,"NTN-F 010710",2010-07-01
2007-07-10,0.1076,985.56,"NTN-F 010710",2010-07-01
2007-07-11,0.1085,983.86,"NTN-F 010710",2010-07-01
2007-07-12,0.1078,985.9,"NTN-F 010710",2010-07-01
2007-07-13,0.107,988.16,"NTN-F 010710",2010-07-01
2007-07-16,0.1065,989.73,"NTN-F 010710",2010-07-01
2007-07-17,0.1071,988.73,"NTN-F 010710",2010-07-01
2007-07-18,0.1066,990.29,"NTN-F 010710",2010-07-01
2007-07-19,0.1071,989.53,"NTN-F 010710",2010-07-01
2007-07-20,0.1081,987.61,"NTN-F 010710",2010-07-01
2007-07-23,0.1086,986.85,"NTN-F 010710",2010-07-01
2007-07-24,0.1086,987.26,"NTN-F 010710",2010-07-01
2007-07-25,0.1098,984.9,"NTN-F 010710",2010-07-01
2007-07-26,0.1101,984.62,"NTN-F 010710",2010-07-01
2007-07-27,0.1138,976.62,"NTN-F 010710",2010-07-01
2007-07-30,0.1118,981.56,"NTN-F 010710",2010-07-01
2007-07-31,0.1111,983.57,"NTN-F 010710",2010-07-01
2007-08-01,0.1114,983.3,"NTN-F 010710",2010-07-01
2007-08-02,0.113,980.09,"NTN-F 010710",2010-07-01
2007-08-03,0.1124,981.86,"NTN-F 010710",2010-07-01
2007-08-06,0.1142,978.23,"NTN-F 010710",2010-07-01
2007-08-07,0.1145,977.98,"NTN-F 010710",2010-07-01
2007-08-08,0.1137,980.19,"NTN-F 010710",2010-07-01
2007-08-09,0.1127,982.85,"NTN-F 010710",2010-07-01
2007-08-10,0.1148,978.57,"NTN-F 010710",2010-07-01
2007-08-13,0.1148,979,"NTN-F 010710",2010-07-01
2007-08-14,0.1145,980.08,"NTN-F 010710",2010-07-01
2007-08-15,0.1164,976.3,"NTN-F 010710",2010-07-01
2007-08-16,0.1195,969.93,"NTN-F 010710",2010-07-01
2007-08-17,0.1251,958.27,"NTN-F 010710",2010-07-01
2007-08-20,0.1219,965.59,"NTN-F 010710",2010-07-01
2007-08-21,0.123,963.66,"NTN-F 010710",2010-07-01
2007-08-22,0.1249,960.04,"NTN-F 010710",2010-07-01
2007-08-23,0.1235,963.48,"NTN-F 010710",2010-07-01
2007-08-24,0.1228,965.42,"NTN-F 010710",2010-07-01
2007-08-27,0.1201,971.68,"NTN-F 010710",2010-07-01
2007-08-28,0.1207,970.82,"NTN-F 010710",2010-07-01
2007-08-29,0.1221,968.25,"NTN-F 010710",2010-07-01
2007-08-30,0.1206,971.91,"NTN-F 010710",2010-07-01
2007-08-31,0.1207,972.14,"NTN-F 010710",2010-07-01
2007-09-03,0.1196,974.94,"NTN-F 010710",2010-07-01
2007-09-04,0.1185,977.75,"NTN-F 010710",2010-07-01
2007-09-05,0.1183,978.61,"NTN-F 010710",2010-07-01
2007-09-06,0.1197,976.04,"NTN-F 010710",2010-07-01
2007-09-10,0.1198,976.26,"NTN-F 010710",2010-07-01
2007-09-11,0.1208,974.57,"NTN-F 010710",2010-07-01
2007-09-12,0.1205,975.65,"NTN-F 010710",2010-07-01
2007-09-13,0.1195,978.22,"NTN-F 010710",2010-07-01
2007-09-14,0.1195,978.66,"NTN-F 010710",2010-07-01
2007-09-17,0.1185,981.23,"NTN-F 010710",2010-07-01
2007-09-18,0.1194,979.75,"NTN-F 010710",2010-07-01
2007-09-19,0.1155,988.53,"NTN-F 010710",2010-07-01
2007-09-20,0.1156,988.74,"NTN-F 010710",2010-07-01
2007-09-21,0.1157,988.95,"NTN-F 010710",2010-07-01
2007-09-24,0.115,990.89,"NTN-F 010710",2010-07-01
2007-09-25,0.1151,991.1,"NTN-F 010710",2010-07-01
2007-09-26,0.1153,991.1,"NTN-F 010710",2010-07-01
2007-09-27,0.1153,991.53,"NTN-F 010710",2010-07-01
2007-09-28,0.115,992.6,"NTN-F 010710",2010-07-01
2007-10-01,0.1146,993.88,"NTN-F 010710",2010-07-01
2007-10-02,0.1136,996.45,"NTN-F 010710",2010-07-01
2007-10-03,0.1137,996.66,"NTN-F 010710",2010-07-01
2007-10-04,0.114,996.45,"NTN-F 010710",2010-07-01
2007-10-05,0.1145,995.81,"NTN-F 010710",2010-07-01
2007-10-08,0.1143,996.66,"NTN-F 010710",2010-07-01
2007-10-09,0.1144,996.88,"NTN-F 010710",2010-07-01
2007-10-10,0.1134,999.43,"NTN-F 010710",2010-07-01
2007-10-11,0.1139,998.8,"NTN-F 010710",2010-07-01
2007-10-15,0.1141,998.8,"NTN-F 010710",2010-07-01
2007-10-16,0.1137,1000.07,"NTN-F 010710",2010-07-01
2007-10-17,0.114,999.87,"NTN-F 010710",2010-07-01
2007-10-18,0.1146,999.03,"NTN-F 010710",2010-07-01
2007-10-19,0.1147,999.25,"NTN-F 010710",2010-07-01
2007-10-22,0.1162,996.54,"NTN-F 010710",2010-07-01
2007-10-23,0.1189,991.36,"NTN-F 010710",2010-07-01
2007-10-24,0.1174,994.91,"NTN-F 010710",2010-07-01
2007-10-25,0.1188,992.45,"NTN-F 010710",2010-07-01
2007-10-26,0.119,992.48,"NTN-F 010710",2010-07-01
2007-10-29,0.1177,995.61,"NTN-F 010710",2010-07-01
2007-10-30,0.1169,997.7,"NTN-F 010710",2010-07-01
2007-10-31,0.117,997.93,"NTN-F 010710",2010-07-01
2007-11-01,0.117,998.37,"NTN-F 010710",2010-07-01
2007-11-05,0.1177,997.37,"NTN-F 010710",2010-07-01
2007-11-06,0.1192,994.73,"NTN-F 010710",2010-07-01
2007-11-07,0.1199,997.84,"NTN-F 010710",2010-07-01
2007-11-08,0.1199,994.2,"NTN-F 010710",2010-07-01
2007-11-09,0.1214,991.6,"NTN-F 010710",2010-07-01
2007-11-12,0.1213,992.26,"NTN-F 010710",2010-07-01
2007-11-13,0.1218,991.7,"NTN-F 010710",2010-07-01
2007-11-14,0.1225,990.74,"NTN-F 010710",2010-07-01
2007-11-16,0.1207,994.82,"NTN-F 010710",2010-07-01
2007-11-19,0.1209,994.86,"NTN-F 010710",2010-07-01
2007-11-20,0.1215,994.11,"NTN-F 010710",2010-07-01
2007-11-21,0.1215,994.56,"NTN-F 010710",2010-07-01
2007-11-22,0.1212,995.62,"NTN-F 010710",2010-07-01
2007-11-23,0.121,996.47,"NTN-F 010710",2010-07-01
2007-11-26,0.121,996.92,"NTN-F 010710",2010-07-01
2007-11-27,0.1212,996.97,"NTN-F 010710",2010-07-01
2007-11-28,0.1225,994.84,"NTN-F 010710",2010-07-01
2007-11-29,0.1225,995.3,"NTN-F 010710",2010-07-01
2007-11-30,0.1242,992.4,"NTN-F 010710",2010-07-01
2007-12-03,0.1236,994.04,"NTN-F 010710",2010-07-01
2007-12-04,0.1243,993.12,"NTN-F 010710",2010-07-01
2007-12-05,0.1254,991.43,"NTN-F 010710",2010-07-01
2007-12-06,0.1263,990.14,"NTN-F 010710",2010-07-01
2007-12-07,0.1267,989.83,"NTN-F 010710",2010-07-01
2007-12-10,0.1261,991.47,"NTN-F 010710",2010-07-01
2007-12-11,0.1273,989.61,"NTN-F 010710",2010-07-01
2007-12-12,0.1256,993.37,"NTN-F 010710",2010-07-01
2007-12-13,0.1276,989.97,"NTN-F 010710",2010-07-01
2007-12-14,0.1291,987.57,"NTN-F 010710",2010-07-01
2007-12-17,0.1288,988.62,"NTN-F 010710",2010-07-01
2007-12-18,0.1285,989.67,"NTN-F 010710",2010-07-01
2007-12-19,0.1278,991.48,"NTN-F 010710",2010-07-01
2007-12-20,0.127,993.49,"NTN-F 010710",2010-07-01
2007-12-21,0.1292,990.24,"NTN-F 010710",2010-07-01
2007-12-24,0.1292,990.24,"NTN-F 010710",2010-07-01
2007-12-26,0.1294,990.34,"NTN-F 010710",2010-07-01
2007-12-27,0.1302,989.3,"NTN-F 010710",2010-07-01
2007-12-28,0.1308,940.33,"NTN-F 010710",2010-07-01
2007-12-31,0.1308,940.33,"NTN-F 010710",2010-07-01
2008-01-02,0.1303,941.73,"NTN-F 010710",2010-07-01
2008-01-03,0.1298,943.12,"NTN-F 010710",2010-07-01
2008-01-04,0.1289,945.27,"NTN-F 010710",2010-07-01
2008-01-07,0.1297,944.22,"NTN-F 010710",2010-07-01
2008-01-08,0.1293,945.43,"NTN-F 010710",2010-07-01
2008-01-09,0.1287,947.01,"NTN-F 010710",2010-07-01
2008-01-10,0.1292,946.53,"NTN-F 010710",2010-07-01
2008-01-11,0.1298,945.87,"NTN-F 010710",2010-07-01
2008-01-14,0.1293,947.26,"NTN-F 010710",2010-07-01
2008-01-15,0.1294,947.53,"NTN-F 010710",2010-07-01
2008-01-16,0.1292,948.36,"NTN-F 010710",2010-07-01
2008-01-17,0.1298,947.7,"NTN-F 010710",2010-07-01
2008-01-18,0.1306,946.68,"NTN-F 010710",2010-07-01
2008-01-21,0.1302,947.88,"NTN-F 010710",2010-07-01
2008-01-22,0.1316,945.76,"NTN-F 010710",2010-07-01
2008-01-23,0.1322,945.12,"NTN-F 010710",2010-07-01
2008-01-24,0.1328,944.49,"NTN-F 010710",2010-07-01
2008-01-25,0.1303,949.54,"NTN-F 010710",2010-07-01
2008-01-28,0.1303,950,"NTN-F 010710",2010-07-01
2008-01-29,0.1292,952.48,"NTN-F 010710",2010-07-01
2008-01-30,0.1297,952.02,"NTN-F 010710",2010-07-01
2008-01-31,0.1296,952.67,"NTN-F 010710",2010-07-01
2008-02-01,0.13,952.4,"NTN-F 010710",2010-07-01
2008-02-06,0.1296,953.59,"NTN-F 010710",2010-07-01
2008-02-07,0.1297,953.87,"NTN-F 010710",2010-07-01
2008-02-08,0.1289,955.79,"NTN-F 010710",2010-07-01
2008-02-11,0.128,957.89,"NTN-F 010710",2010-07-01
2008-02-12,0.127,960.18,"NTN-F 010710",2010-07-01
2008-02-13,0.1263,961.92,"NTN-F 010710",2010-07-01
2008-02-14,0.1259,963.1,"NTN-F 010710",2010-07-01
2008-02-15,0.1261,963.19,"NTN-F 010710",2010-07-01
2008-02-18,0.1268,962.37,"NTN-F 010710",2010-07-01
2008-02-19,0.1255,965.19,"NTN-F 010710",2010-07-01
2008-02-20,0.1261,964.55,"NTN-F 010710",2010-07-01
2008-02-21,0.1254,966.28,"NTN-F 010710",2010-07-01
2008-02-22,0.1252,967.1,"NTN-F 010710",2010-07-01
2008-02-25,0.125,967.92,"NTN-F 010710",2010-07-01
2008-02-26,0.1257,967.1,"NTN-F 010710",2010-07-01
2008-02-27,0.1252,968.46,"NTN-F 010710",2010-07-01
2008-02-28,0.1255,968.37,"NTN-F 010710",2010-07-01
2008-02-29,0.1255,968.82,"NTN-F 010710",2010-07-01
2008-03-03,0.126,968.38,"NTN-F 010710",2010-07-01
2008-03-04,0.1254,969.91,"NTN-F 010710",2010-07-01
2008-03-05,0.1256,970.01,"NTN-F 010710",2010-07-01
2008-03-06,0.1252,971.18,"NTN-F 010710",2010-07-01
2008-03-07,0.1277,967.17,"NTN-F 010710",2010-07-01
2008-03-10,0.1293,964.79,"NTN-F 010710",2010-07-01
2008-03-11,0.1298,964.37,"NTN-F 010710",2010-07-01
2008-03-12,0.1292,965.89,"NTN-F 010710",2010-07-01
2008-03-13,0.1316,962.14,"NTN-F 010710",2010-07-01
2008-03-14,0.1309,963.84,"NTN-F 010710",2010-07-01
2008-03-17,0.1322,962.04,"NTN-F 010710",2010-07-01
2008-03-18,0.1326,961.82,"NTN-F 010710",2010-07-01
2008-03-19,0.1313,964.55,"NTN-F 010710",2010-07-01
2008-03-20,0.1328,962.42,"NTN-F 010710",2010-07-01
2008-03-24,0.1329,962.72,"NTN-F 010710",2010-07-01
2008-03-25,0.1337,961.82,"NTN-F 010710",2010-07-01
2008-03-26,0.1344,961.09,"NTN-F 010710",2010-07-01
2008-03-27,0.1348,960.89,"NTN-F 010710",2010-07-01
2008-03-28,0.1345,961.88,"NTN-F 010710",2010-07-01
2008-03-31,0.1335,964.08,"NTN-F 010710",2010-07-01
2008-04-01,0.134,963.7,"NTN-F 010710",2010-07-01
